1,"Menu trong button",0,/,0,/0/,0,1,1,1,"2017-05-28 12:16:59",1,"2017-06-14 13:11:06"
2,"Menu top",0,/,0,/0/,0,1,2,0,"2017-06-14 13:10:55",1,"2017-06-14 13:20:41"
3,"Menu foot block a1",0,,0,/0/,0,1,999,0,"2017-06-14 13:11:52",1,"2017-08-22 20:16:31"
4,"Menu foot block 2",0,,0,/0/,0,1,999,0,"2017-06-14 13:11:52",0,"2017-06-14 13:20:49"
5,"Menu foot block 3",0,,0,/0/,0,1,999,0,"2017-06-14 13:11:52",0,"2017-06-14 13:20:52"
11,test2,NULL,/,1,/0/3/,1,1,2,1,"2017-05-28 12:21:20",1,"2017-07-16 16:12:29"
12,"GIA ĐÌNH",13,,1,/0/1/,0,1,1,1,"2017-05-28 12:29:02",1,"2017-09-27 11:50:29"
13,"KHOA HỌC",15,,1,/0/1/,0,1,2,0,"2017-06-09 10:54:23",1,"2017-09-27 11:50:55"
14,"Trang chủ",NULL,/,2,/0/1/,0,1,1,0,"2017-06-14 13:13:49",0,"2017-06-19 00:30:53"
20,"THẾ GIỚI",5,,2,/0/2/,0,1,2,0,"2017-06-14 13:13:49",1,"2017-09-15 16:08:58"
21,"Sao trẻ",0,http://beby.vn/tin/khong-cong-khai-lam-sao-giam-sa,20,/0/1/1/20/,1,1,3,0,"2017-06-14 13:13:49",1,"2017-07-16 16:13:42"
22,"SỐ HÓA",16,,1,/0/1/,0,1,3,1,"2017-07-16 16:08:53",1,"2017-09-27 11:51:06"
23,VIDEO,2,,2,/0/2/,0,1,3,1,"2017-07-16 16:10:39",1,"2017-10-01 13:14:20"
24,"GIÁO DỤC",11,,2,/0/2/,0,1,8,1,"2017-07-16 16:17:43",1,"2017-09-27 11:47:25"
25,"GIẢI TRÍ",9,,2,/0/2/,0,1,5,1,"2017-07-16 16:19:12",1,"2017-09-15 16:09:34"
26,"HÌNH ẢNH",3,,2,/0/2/,0,1,4,1,"2017-08-16 11:42:12",1,"2017-08-16 11:46:53"
27,"Thời Sự",6,,2,/0/2/,0,1,9,1,"2017-08-28 20:36:40",1,"2017-08-28 20:37:31"
28,"Du Lịch",14,,2,/0/2/,0,1,10,1,"2017-09-14 20:19:28",1,"2017-09-14 20:19:28"
29,"CÔNG NGHỆ",19,,2,/0/2/,0,1,11,1,"2017-09-14 20:44:30",1,"2017-09-14 20:44:30"
30,"TIN TỨC SAO",7,,2,/0/2/,1,1,12,1,"2017-09-15 16:11:40",1,"2017-09-27 11:47:52"
31,"SỨC KHỎE",12,,2,/0/2/,0,1,6,1,"2017-09-27 11:44:14",1,"2017-09-27 11:45:44"
32,"GIA ĐÌNH",13,,2,/0/2/,0,1,7,1,"2017-09-27 11:44:46",1,"2017-09-27 11:46:35"
33,XE,17,,1,/0/1/,0,1,4,1,"2017-09-27 11:51:28",1,"2017-09-27 11:52:42"
34,"CỘNG ĐỒNG",18,,1,/0/1/,0,1,5,1,"2017-09-27 11:52:01",1,"2017-09-27 11:52:01"
35,"SẢN PHẨM",20,,1,/0/1/,0,1,6,1,"2017-09-27 12:08:24",1,"2017-09-27 12:08:24"
36,"Sao Hàn",3,,2,/0/2/,0,1,12,1,"2017-09-29 11:12:25",1,"2017-09-30 08:53:33"
37,STAR,26,,2,/0/2/,0,1,13,1,"2017-09-29 15:06:34",1,"2017-09-30 08:54:28"
